"","Country","% of population by age[1]","% of population by age[1]","% of population by age[1]"
"200","Taiwan","12.22%","69.72%","18.07%"
"201","Tajikistan","29.98%","65.84%","4.18%"
"202","Tanzania","41.50%","55.15%","3.35%"
"203","Thailand","16.00%","69.53%","14.47%"
"204","Timor-Leste","39.05%","56.61%","4.34%"
"205","Togo","38.98%","56.76%","4.26%"
"206","Tonga","29.92%","62.79%","7.29%"
"207","Trinidad and Tobago","19.04%","67.40%","13.56%"
"208","Tunisia","24.77%","65.26%","9.98%"
"209","Turkey","22.12%","68.58%","9.31%"
"210","Turkmenistan","24.63%","68.82%","6.55%"
"211","Turks and Caicos Islands","20.70%","73.24%","6.06%"
"212","Tuvalu","29.27%","63.30%","7.43%"
"213","Uganda","47.30%","50.31%","2.39%"
"214","Ukraine","15.90%","65.95%","18.15%"
"215","United Arab Emirates","16.23%","81.77%","2.00%"
"216","United Kingdom","16.91%","64.03%","19.06%"
"217","United States","18.15%","63.72%","18.12%"
"218","Uruguay","19.02%","65.55%","15.43%"
"219","Uzbekistan","22.48%","70.64%","6.88%"
"220","Vanuatu","31.73%","63.41%","4.86%"
"221","Venezuela","25.13%","65.98%","8.90%"
"222","Vietnam","23.44%","68.69%","7.87%"
"223","US Virgin Islands (US)","19.07%","60.04%","20.89%"
"224","Wallis and Futuna","19.98%","67.86%","12.15%"
"225","West Bank","34.07%","61.94%","3.99%"
"226","Yemen","35.14%","61.52%","3.34%"
"227","Zambia","42.49%","54.77%","2.74%"
"228","Zimbabwe","38.16%","57.32%","4.52%"
"229","World","24.70%","65.20%","10.10%"
